,Date,Ticker,Title,Direction,Direction_Num,Market Cap,Editor-Picks,Author-Followers,Initial-Stock-Price,Current-Stock-Price10,Current-Stock-Price30,Current-Stock-Price90,sp500-Price10,sp500-Price30,sp500-Price90,stock_change10,stock_change30,stock_change90,sp500_change10,sp500_change30,sp500_change90,difference10,difference30,difference90,status10,status30,status90
201,"Jan. 14, 2014  3:08 PM ET",CELP,Cypress Energy Partners: IPO Could Flow Nicely Uphill,NA,4.00,204353280.00,2.00,8830.00,19.81,21.32,22.81,22.08,1790.29,1829.83,1830.61,7.62,15.14,11.46,-3.14,-1.00,-0.96,10.77,16.15,12.42,1.00,1.00,1.00
202,"Jan. 14, 2014  3:02 PM ET",REGI,Biodiesel Margins Down But Not Out,NA,4.00,424238514.00,2.00,1152.00,10.79,10.30,10.36,11.91,1790.29,1829.83,1830.61,-4.54,-3.99,10.38,-3.14,-1.00,-0.96,-1.40,-2.98,11.34,0.00,0.00,1.00
203,"Jan. 14, 2014  2:50 PM ET",ABIO,Why Arca Biopharma Is A Buy,NA,4.00,17343399.00,2.00,40.00,2.06,2.04,1.78,1.60,1790.29,1829.83,1830.61,-0.97,-13.59,-22.33,-3.14,-1.00,-0.96,2.17,-12.59,-21.37,0.00,0.00,0.00
204,"Jan. 14, 2014  2:48 PM ET",EOG,EOG Resources: 2014 Top Energy Pick At Barclays And Credit Suisse,NA,4.00,46831718806.00,2.00,19140.00,84.64,82.24,87.18,99.46,1790.29,1829.83,1830.61,-2.84,3.00,17.51,-3.14,-1.00,-0.96,0.31,4.00,18.47,0.00,0.00,1.00
205,"Jan. 14, 2014  2:30 PM ET",CF,CF Industries Holdings - Is The Era Of High Margins Ending?,NA,4.00,14019771368.00,2.00,201.00,242.26,226.90,226.47,236.03,1790.29,1829.83,1830.61,-6.34,-6.52,-2.57,-3.14,-1.00,-0.96,-3.20,-5.51,-1.61,0.00,0.00,0.00
206,"Jan. 14, 2014  2:27 PM ET",HAL,Halliburton: A Few Reasons Why I&#x27;m Staying Long,NA,4.00,34139814129.00,2.00,1364.00,49.84,47.85,52.62,58.30,1790.29,1829.83,1830.61,-3.99,5.58,16.97,-3.14,-1.00,-0.96,-0.85,6.58,17.94,0.00,1.00,1.00
207,"Jan. 14, 2014  2:21 PM ET",KMB,"Venezuela To Devalue Its Currency Again, MercadoLibre&#x27;s Financials Will Get Hit Hard",NA,4.00,5550716502.00,1.00,16.00,97.24,99.11,100.35,102.61,1790.29,1829.83,1830.61,1.92,3.20,5.52,-3.14,-1.00,-0.96,5.07,4.20,6.48,1.00,0.00,1.00
208,"Jan. 14, 2014  2:18 PM ET",CPB,ModernGraham Valuation Of Campbell Soup Company,NA,4.00,14133462866.00,2.00,3358.00,41.14,41.12,39.83,43.67,1790.29,1829.83,1830.61,-0.05,-3.18,6.15,-3.14,-1.00,-0.96,3.09,-2.18,7.11,0.00,0.00,1.00
209,"Jan. 15, 2014  6:50 PM ET",XOM,Is BP Prudhoe Bay Fund Really A Good Short?,NA,4.00,1242698000.00,2.00,1604.00,95.49,91.55,91.47,95.92,1844.86,1838.63,1842.98,-4.13,-4.21,0.45,-0.06,-0.39,-0.16,-4.07,-3.82,0.61,0.00,0.00,0.00
210,"Jan. 15, 2014  6:40 PM ET",XOM,EP Energy Drills For Millions In Upcoming IPO,NA,4.00,2367570350.00,2.00,8830.00,95.49,91.55,91.47,95.92,1844.86,1838.63,1842.98,-4.13,-4.21,0.45,-0.06,-0.39,-0.16,-4.07,-3.82,0.61,0.00,0.00,0.00
211,"Jan. 15, 2014  6:40 PM ET",GTATQ,GT Advanced Techologies Has A Promising But Cloudy Future,NA,4.00,39886534.00,2.00,2207.00,9.22,9.09,11.67,15.62,1844.86,1838.63,1842.98,-1.41,26.57,69.41,-0.06,-0.39,-0.16,-1.35,26.97,69.57,0.00,1.00,1.00
212,"Jan. 15, 2014  6:34 PM ET",XLK,"Intel Earnings: Hit Or Miss, It&#x27;s A Buy",NA,4.00,146484000000.00,2.00,1706.00,35.30,34.49,35.41,35.23,1844.86,1838.63,1842.98,-2.29,0.31,-0.20,-0.06,-0.39,-0.16,-2.24,0.70,-0.04,0.00,0.00,0.00
213,"Jan. 15, 2014  6:12 PM ET",V,American Express: Is Optimism Overdone?,NA,4.00,82145529502.00,2.00,1706.00,219.71,219.19,224.30,202.52,1844.86,1838.63,1842.98,-0.24,2.09,-7.82,-0.06,-0.39,-0.16,-0.18,2.48,-7.67,0.00,0.00,0.00
214,"Jan. 15, 2014  6:05 PM ET",BKE,The Buckle: Now Is A Good Time To Buy This High Dividend Stock,NA,4.00,2324160932.00,2.00,37.00,43.20,42.10,40.68,41.10,1844.86,1838.63,1842.98,-2.55,-5.83,-4.86,-0.06,-0.39,-0.16,-2.49,-5.44,-4.70,0.00,0.00,0.00
215,"Jan. 15, 2014  5:43 PM ET",LIME,Lime Energy: Why We See This Stock Going To $8 In 2014,NA,4.00,9804605.00,2.00,27.00,3.54,3.33,3.01,3.21,1844.86,1838.63,1842.98,-5.93,-14.97,-9.32,-0.06,-0.39,-0.16,-5.88,-14.58,-9.16,0.00,0.00,0.00
216,"Jan. 15, 2014  5:31 PM ET",ECOM,Another Way To Look At It,NA,4.00,172091000000.00,2.00,6140.00,45.94,46.46,39.38,30.39,1844.86,1838.63,1842.98,1.13,-14.28,-33.85,-0.06,-0.39,-0.16,1.19,-13.89,-33.69,0.00,0.00,0.00
217,"Jan. 15, 2014  5:01 PM ET",PXQ,F5 Networks: Double-Digit Growth Could Resume This Year,NA,4.00,8105484220.00,2.00,359.00,32.61,31.93,32.37,31.24,1844.86,1838.63,1842.98,-2.09,-0.74,-4.20,-0.06,-0.39,-0.16,-2.03,-0.34,-4.04,0.00,0.00,0.00
218,"Jan. 15, 2014  4:48 PM ET",WMW,"Microsoft: A Company With A History Of Building, Defending And Widening Its Moat",NA,4.00,339473000000.00,2.00,111.00,19.74,19.35,19.53,20.14,1844.86,1838.63,1842.98,-1.98,-1.06,2.03,-0.06,-0.39,-0.16,-1.92,-0.67,2.18,0.00,0.00,0.00
219,"Jan. 15, 2014  4:42 PM ET",WFC,Earnings Preview: Goldman Sachs 4Q 2013,NA,4.00,82480509866.00,2.00,390.00,44.84,43.96,44.89,47.47,1844.86,1838.63,1842.98,-1.96,0.11,5.87,-0.06,-0.39,-0.16,-1.91,0.50,6.02,0.00,0.00,1.00
220,"Jan. 15, 2014  3:41 PM ET",UNL,Chevron? Dividend Growth Plus Promising Projects,NA,4.00,191064000000.00,2.00,1212.00,18.32,19.34,20.13,20.37,1844.86,1838.63,1842.98,5.57,9.88,11.19,-0.06,-0.39,-0.16,5.62,10.27,11.35,1.00,1.00,1.00
221,"Jan. 15, 2014  3:38 PM ET",RNN,Rexahn Pharmaceutical Shares Are Still A Buy Despite Recent Volatility,NA,4.00,130124922.00,2.00,2550.00,1.12,1.00,1.10,0.93,1844.86,1838.63,1842.98,-10.71,-1.79,-16.96,-0.06,-0.39,-0.16,-10.66,-1.39,-16.81,0.00,0.00,0.00
222,"Jan. 15, 2014  3:15 PM ET",MBLTY,Athersys: Why Did Shareholders Come Knocking At The Door Once Again?,NA,4.00,226265895.00,2.00,352.00,26.45,25.47,26.19,22.51,1844.86,1838.63,1842.98,-3.71,-0.98,-14.90,-0.06,-0.39,-0.16,-3.65,-0.59,-14.74,0.00,0.00,0.00
223,"Jan. 15, 2014  3:10 PM ET",GE,GE Earnings Preview: Stock Up 33% In &#x27;13; Still No Revenue Growth,NA,4.00,252025000000.00,2.00,1096.00,26.03,23.88,24.64,24.93,1844.86,1838.63,1842.98,-8.26,-5.34,-4.23,-0.06,-0.39,-0.16,-8.20,-4.95,-4.07,0.00,0.00,0.00
224,"Jan. 16, 2014  6:26 PM ET",XSW,Alcatel-Lucent Is Moving In The Right Direction,NA,4.00,10989591148.00,2.00,2131.00,91.10,88.81,89.65,82.16,1828.46,1819.26,1862.31,-2.51,-1.59,-9.81,-0.56,-1.06,1.28,-1.96,-0.53,-11.10,0.00,0.00,0.00
225,"Jan. 16, 2014  6:02 PM ET",COST,Costco Stock Looking Expensive Despite Recent Pullback,NA,4.00,65679358130.00,2.00,6684.00,111.02,107.05,111.14,108.64,1828.46,1819.26,1862.31,-3.58,0.11,-2.14,-0.56,-1.06,1.28,-3.02,1.17,-3.43,0.00,0.00,0.00
226,"Jan. 16, 2014  5:50 PM ET",WTM,White Mountains Insurance: High Quality Capital Allocator Available At A Discount,NA,4.00,4029436533.00,1.00,656.00,590.87,586.57,576.71,595.57,1828.46,1819.26,1862.31,-0.73,-2.40,0.80,-0.56,-1.06,1.28,-0.17,-1.34,-0.49,0.00,0.00,0.00
227,"Jan. 16, 2014  5:49 PM ET",XME,Rio Tinto: Here&#x27;s Why I&#x27;m Staying Bullish,NA,4.00,77981602925.00,2.00,1364.00,41.05,39.16,41.00,41.36,1828.46,1819.26,1862.31,-4.60,-0.12,0.76,-0.56,-1.06,1.28,-4.05,0.94,-0.53,0.00,0.00,0.00
228,"Jan. 16, 2014  5:16 PM ET",FB,Facebook Teen Issues Magnified,NA,4.00,218463000000.00,2.00,2372.00,56.30,54.45,67.09,59.72,1828.46,1819.26,1862.31,-3.29,19.17,6.07,-0.56,-1.06,1.28,-2.73,20.22,4.79,0.00,1.00,0.00
229,"Jan. 16, 2014  5:10 PM ET",BRK.B,IBM: The Owner Earnings Ratio Tells Us It&#x27;s A Strong Buy,NA,4.00,152494000000.00,2.00,3739.00,115.07,111.81,114.95,126.00,1828.46,1819.26,1862.31,-2.83,-0.10,9.50,-0.56,-1.06,1.28,-2.28,0.95,8.21,0.00,0.00,1.00
230,"Jan. 16, 2014  5:09 PM ET",INFY,Why Cognizant Remains A Buy Even As It Crosses $100,NA,4.00,37275005478.00,2.00,1103.00,29.52,29.15,29.04,25.75,1828.46,1819.26,1862.31,-1.25,-1.63,-12.77,-0.56,-1.06,1.28,-0.70,-0.57,-14.06,0.00,0.00,0.00
231,"Jan. 16, 2014  5:04 PM ET",LNCO,Linn Energy Regaining Its Premium,NA,4.00,3758294882.00,2.00,2166.00,27.59,28.44,27.49,24.65,1828.46,1819.26,1862.31,3.08,-0.36,-10.66,-0.56,-1.06,1.28,3.64,0.69,-11.94,0.00,0.00,0.00
232,"Jan. 16, 2014  4:59 PM ET",INTC,Google Joins The Race For Internet Of Things,NA,4.00,372518000000.00,2.00,853.00,24.88,23.88,24.06,26.16,1828.46,1819.26,1862.31,-4.02,-3.30,5.14,-0.56,-1.06,1.28,-3.46,-2.24,3.86,0.00,0.00,0.00
233,"Jan. 16, 2014  4:53 PM ET",UGE,SodaStream: Management Brushes Off Concerns,NA,4.00,381986357.00,2.00,2201.00,76.18,72.96,73.19,79.27,1828.46,1819.26,1862.31,-4.23,-3.92,4.06,-0.56,-1.06,1.28,-3.67,-2.87,2.77,0.00,0.00,0.00
234,"Jan. 16, 2014  4:53 PM ET",CM,Canadian Imperial: The Best Of The Big Banks,NA,4.00,28776884756.00,2.00,678.00,77.54,76.09,77.93,83.98,1828.46,1819.26,1862.31,-1.87,0.50,8.31,-0.56,-1.06,1.28,-1.31,1.56,7.02,0.00,0.00,1.00
235,"Jan. 16, 2014  4:50 PM ET",TTWO,GameStop Tanks: Winners And Losers,NA,4.00,4416577838.00,2.00,92.00,17.05,18.46,19.11,20.05,1828.46,1819.26,1862.31,8.27,12.08,17.60,-0.56,-1.06,1.28,8.83,13.14,16.31,1.00,1.00,1.00
236,"Jan. 16, 2014  4:48 PM ET",INTC,Intel Dips On Earnings: Time To Buy?,NA,4.00,146484000000.00,2.00,5269.00,24.88,23.88,24.06,26.16,1828.46,1819.26,1862.31,-4.02,-3.30,5.14,-0.56,-1.06,1.28,-3.46,-2.24,3.86,0.00,0.00,0.00
237,"Jan. 16, 2014  4:37 PM ET",XLY,Viacom Quietly Becoming A Cash Cow,NA,4.00,27644542577.00,2.00,1356.00,64.20,62.63,64.28,63.01,1828.46,1819.26,1862.31,-2.45,0.12,-1.85,-0.56,-1.06,1.28,-1.89,1.18,-3.14,0.00,0.00,0.00
238,"Jan. 16, 2014  4:31 PM ET",KMR,Kinder Morgan Energy Partners Finishes 2013 With An Impressive Quarter,NA,4.00,0.00,2.00,3312.00,71.11,72.02,72.07,70.53,1828.46,1819.26,1862.31,1.28,1.35,-0.82,-0.56,-1.06,1.28,1.84,2.41,-2.10,0.00,0.00,0.00
239,"Jan. 16, 2014  4:29 PM ET",PG,"Procter &amp; Gamble: Low Risk, Slower Dividend Growth Ahead",NA,4.00,220983000000.00,2.00,86.00,76.89,76.79,77.00,79.19,1828.46,1819.26,1862.31,-0.13,0.14,2.99,-0.56,-1.06,1.28,0.43,1.20,1.71,0.00,0.00,0.00
240,"Jan. 16, 2014  4:26 PM ET",GE,Here&#x27;s What You Need To Know About General Electric For Friday,NA,4.00,252025000000.00,2.00,2282.00,25.44,23.88,24.64,25.22,1828.46,1819.26,1862.31,-6.13,-3.14,-0.86,-0.56,-1.06,1.28,-5.58,-2.09,-2.15,0.00,0.00,0.00
241,"Jan. 16, 2014  4:19 PM ET",SNE,Sony On A Rebound - The Right Time To Buy,NA,4.00,30508925342.00,2.00,393.00,17.05,16.72,17.06,18.78,1828.46,1819.26,1862.31,-1.94,0.06,10.15,-0.56,-1.06,1.28,-1.38,1.12,8.86,0.00,0.00,1.00
242,"Jan. 16, 2014  4:12 PM ET",FB,"Why Facebook Will Definitely, Surely, Assuredly, Certainly Not Be Trading At $58 When 2015 Starts",NA,4.00,218463000000.00,2.00,5269.00,56.30,16.72,17.06,18.78,1828.46,1819.26,1862.31,-1.94,0.06,10.15,-0.56,-1.06,1.28,-1.38,1.12,8.86,0.00,0.00,1.00
243,"Jan. 16, 2014  3:55 PM ET",BAC,Project New BAC Drives Profits At BofA As Performance Improves Across Divisions,NA,4.00,169260000000.00,2.00,2695.00,16.83,16.28,16.53,15.97,1828.46,1819.26,1862.31,-3.27,-1.78,-5.11,-0.56,-1.06,1.28,-2.71,-0.73,-6.39,0.00,0.00,0.00
244,"Jan. 16, 2014  3:51 PM ET",AAMC,The Basic Fallacy Regarding Altisource,NA,4.00,1204699624.00,2.00,6140.00,1179.78,1053.00,995.02,940.00,1828.46,1819.26,1862.31,-10.75,-15.66,-20.32,-0.56,-1.06,1.28,-10.19,-14.60,-21.61,0.00,0.00,0.00
245,"Jan. 16, 2014  3:49 PM ET",EQR,"Equity Residential Is Attractive Because Of Location, Location, Location",NA,4.00,28019744835.00,2.00,2207.00,52.16,52.03,56.75,57.11,1828.46,1819.26,1862.31,-0.25,8.80,9.49,-0.56,-1.06,1.28,0.31,9.86,8.21,0.00,1.00,1.00
246,"Jan. 16, 2014  3:42 PM ET",GPC,GPC: Double Digit Returns Through 2017,NA,4.00,14425516664.00,2.00,86.00,81.49,79.75,83.25,85.22,1828.46,1819.26,1862.31,-2.14,2.16,4.58,-0.56,-1.06,1.28,-1.58,3.22,3.29,0.00,0.00,0.00
247,"Jan. 16, 2014  3:31 PM ET",BBY,Best Buy Wasn&#x27;t Alone,NA,4.00,14216302759.00,2.00,713.00,23.86,24.44,24.20,24.06,1828.46,1819.26,1862.31,2.43,1.42,0.84,-0.56,-1.06,1.28,2.99,2.48,-0.45,0.00,0.00,0.00
248,"Jan. 16, 2014  3:28 PM ET",MS,Here&#x27;s How The Buy Side Expects Morgan Stanley To Report Friday,NA,4.00,71849879169.00,2.00,2282.00,32.94,30.03,29.33,29.53,1828.46,1819.26,1862.31,-8.83,-10.96,-10.35,-0.56,-1.06,1.28,-8.28,-9.90,-11.64,0.00,0.00,0.00
249,"Jan. 16, 2014  3:26 PM ET",MANU,Buy Into A Stealth Football Revolution,NA,4.00,2525752346.00,2.00,1902.00,15.20,15.02,14.84,17.95,1828.46,1819.26,1862.31,-1.18,-2.37,18.09,-0.56,-1.06,1.28,-0.63,-1.31,16.81,0.00,0.00,1.00
250,"Jan. 16, 2014  3:26 PM ET",C,Today&#x27;s Citigroup And Goldman Earnings Results -- Why Investors Should Exercise Caution,NA,4.00,82480509866.00,2.00,8830.00,52.22,49.28,49.48,48.14,1828.46,1819.26,1862.31,-5.63,-5.25,-7.81,-0.56,-1.06,1.28,-5.07,-4.19,-9.10,0.00,0.00,0.00
251,"Jan. 16, 2014  3:19 PM ET",TEVA,Galena Partners With Other Companies And Offers Even More Strength Going Forward,NA,4.00,189857661.00,2.00,14440.00,42.85,41.55,42.77,48.67,1828.46,1819.26,1862.31,-3.03,-0.19,13.58,-0.56,-1.06,1.28,-2.48,0.87,12.30,0.00,0.00,1.00
252,"Jan. 16, 2014  3:16 PM ET",LULU,What&#x27;s Next After Lululemon&#x27;s Stock Plunge,NA,4.00,8342555251.00,2.00,1212.00,47.49,47.62,51.05,52.71,1828.46,1819.26,1862.31,0.27,7.50,10.99,-0.56,-1.06,1.28,0.83,8.55,9.71,0.00,1.00,1.00
253,"Jan. 16, 2014  3:13 PM ET",XLU,Underperforming Sectors: Economic Message For 2014,NA,4.00,184294000000.00,1.00,671.00,36.76,36.69,38.91,41.72,1828.46,1819.26,1862.31,-0.19,5.85,13.49,-0.56,-1.06,1.28,0.37,6.91,12.21,0.00,1.00,1.00
254,"Jan. 16, 2014  3:12 PM ET",FFIV,F5&#x27;s Growth To Accelerate In Fiscal 2014 From A Strong First Quarter,NA,4.00,8105484220.00,2.00,2695.00,96.92,104.91,111.91,108.31,1828.46,1819.26,1862.31,8.24,15.47,11.75,-0.56,-1.06,1.28,8.80,16.52,10.47,1.00,1.00,1.00
255,"Jan. 16, 2014  3:02 PM ET",CHTP,Chelsea Therapeutics May Be A Revenue Generating Biotech By The End Of 2014,NA,4.00,0.00,2.00,427.00,4.76,4.59,4.73,4.76,1828.46,1819.26,1862.31,-3.57,-0.63,0.00,-0.56,-1.06,1.28,-3.01,0.43,-1.28,0.00,0.00,0.00
256,"Jan. 16, 2014  2:57 PM ET",XLI,"Dover Corporation: Light Yield, But Strong Dividend Growth And Prospects",NA,4.00,11616966011.00,2.00,86.00,50.83,48.86,50.39,51.57,1828.46,1819.26,1862.31,-3.88,-0.87,1.46,-0.56,-1.06,1.28,-3.32,0.19,0.17,0.00,0.00,0.00
257,"Jan. 17, 2014  7:16 PM ET",CREE,Cree&#x27;s Earnings Preview: Rising LED Penetration To Drive Demand,NA,4.00,4087894225.00,2.00,2695.00,62.50,60.34,60.82,56.54,1781.56,1829.83,1864.85,-3.46,-2.69,-9.54,-3.62,-1.00,0.89,0.16,-1.68,-10.43,0.00,0.00,0.00
258,"Jan. 17, 2014  5:58 PM ET",PWRD,Perfect World Creates New Division To Target Consoles,NA,4.00,934778131.00,2.00,2695.00,19.49,18.12,20.26,19.57,1781.56,1829.83,1864.85,-7.03,3.95,0.41,-3.62,-1.00,0.89,-3.41,4.95,-0.48,0.00,0.00,0.00
259,"Jan. 17, 2014  5:45 PM ET",DAL,Delta&#x27;s Profits Will Glide Higher On Capacity Expansion And Cost Controls,NA,4.00,37504360667.00,2.00,2695.00,30.76,30.28,31.02,33.48,1781.56,1829.83,1864.85,-1.56,0.85,8.84,-3.62,-1.00,0.89,2.05,1.85,7.95,0.00,0.00,1.00
260,"Jan. 17, 2014  5:27 PM ET",INTC,Intel&#x27;s Struggles Present A Critical Question For Investors,NA,4.00,146484000000.00,2.00,393.00,24.88,23.79,24.06,26.27,1781.56,1829.83,1864.85,-4.38,-3.30,5.59,-3.62,-1.00,0.89,-0.77,-2.29,4.70,0.00,0.00,0.00
261,"Jan. 17, 2014  5:17 PM ET",MSFT,Intel: Only Good For Income Investors In The Foreseeable Future,NA,4.00,146484000000.00,2.00,2201.00,35.16,34.82,36.36,38.96,1781.56,1829.83,1864.85,-0.97,3.41,10.81,-3.62,-1.00,0.89,2.65,4.42,9.92,0.00,0.00,1.00
262,"Jan. 17, 2014  5:10 PM ET",TRP,National Fuel Gas: Getting The Gas Utility For Free,NA,4.00,4920203279.00,2.00,1835.00,42.74,42.13,43.71,45.36,1781.56,1829.83,1864.85,-1.43,2.27,6.13,-3.62,-1.00,0.89,2.19,3.27,5.24,0.00,0.00,1.00
263,"Jan. 17, 2014  5:08 PM ET",XLI,"Emerson Electric: Moderate Yield, But High Payout Ratio",NA,4.00,37864256441.00,2.00,86.00,50.83,48.91,50.39,51.97,1781.56,1829.83,1864.85,-3.78,-0.87,2.24,-3.62,-1.00,0.89,-0.16,0.14,1.35,0.00,0.00,0.00
264,"Jan. 17, 2014  4:46 PM ET",SODA,SodaStream Plunge: Revenue Story Isn&#x27;t Enough,NA,4.00,381986357.00,2.00,1212.00,38.15,37.35,40.93,39.99,1781.56,1829.83,1864.85,-2.10,7.29,4.82,-3.62,-1.00,0.89,1.52,8.29,3.93,0.00,1.00,0.00
265,"Jan. 17, 2014  4:38 PM ET",WREI,"REIT Focus: Cedar Realty Trust, Inc.",NA,4.00,622518744.00,2.00,150.00,35.55,35.47,37.11,38.76,1781.56,1829.83,1864.85,-0.23,4.39,9.03,-3.62,-1.00,0.89,3.39,5.39,8.14,0.00,1.00,1.00
266,"Jan. 17, 2014  3:59 PM ET",OPK,Is OPKO Health Setting Up For A Short Squeeze?,NA,4.00,6607310062.00,2.00,1740.00,8.72,8.13,8.49,8.14,1781.56,1829.83,1864.85,-6.77,-2.64,-6.65,-3.62,-1.00,0.89,-3.15,-1.63,-7.54,0.00,0.00,0.00
267,"Jan. 17, 2014  3:52 PM ET",ORCL,Reiterating My Big Cap Stock Thesis: Swing Trading,NA,4.00,146484000000.00,2.00,3653.00,37.77,36.07,37.54,39.73,1781.56,1829.83,1864.85,-4.50,-0.61,5.19,-3.62,-1.00,0.89,-0.89,0.39,4.30,0.00,0.00,0.00
268,"Jan. 17, 2014  3:43 PM ET",MCD,Will Yum! Brands Take Over India?,NA,4.00,33570763183.00,2.00,935.00,90.97,90.15,91.79,96.89,1781.56,1829.83,1864.85,-0.90,0.90,6.51,-3.62,-1.00,0.89,2.71,1.90,5.62,0.00,0.00,1.00
269,"Jan. 17, 2014  3:31 PM ET",PFE,Earnings Preview: Johnson &amp; Johnson Q4 2013,NA,4.00,275852000000.00,2.00,390.00,29.77,28.40,30.84,29.21,1781.56,1829.83,1864.85,-4.60,3.59,-1.88,-3.62,-1.00,0.89,-0.99,4.60,-2.77,0.00,0.00,0.00
270,"Jan. 17, 2014  3:12 PM ET",XLE,Transocean: A Time Arbitrage Opportunity,NA,4.00,4927241009.00,2.00,877.00,84.23,82.30,84.25,91.32,1781.56,1829.83,1864.85,-2.29,0.02,8.42,-3.62,-1.00,0.89,1.32,1.03,7.53,0.00,0.00,1.00
271,"Jan. 17, 2014  3:06 PM ET",GILD,ModernGraham Valuation Of Gilead Sciences,NA,4.00,148359000000.00,2.00,3358.00,78.40,78.86,81.21,70.00,1781.56,1829.83,1864.85,0.59,3.58,-10.71,-3.62,-1.00,0.89,4.20,4.59,-11.61,0.00,0.00,0.00
272,"Jan. 17, 2014  2:49 PM ET",XSD,InvenSense: The Best Chip Stock Of The Future?,NA,4.00,1510869570.00,2.00,158.00,61.76,59.94,63.66,67.03,1781.56,1829.83,1864.85,-2.95,3.08,8.53,-3.62,-1.00,0.89,0.67,4.08,7.64,0.00,0.00,1.00
273,"Jan. 17, 2014  2:38 PM ET",MRK,Cubist Pharmaceuticals: 4 Different Insiders Have Sold Shares This Year,NA,4.00,159506000000.00,2.00,3828.00,50.01,50.56,53.37,54.78,1781.56,1829.83,1864.85,1.10,6.72,9.54,-3.62,-1.00,0.89,4.71,7.72,8.65,0.00,1.00,1.00
274,"Jan. 17, 2014  2:37 PM ET",XPH,All Signs Point To Geron&#x27;s Imetelstat Being The Holy Grail Of Myeloproliferative Drugs,NA,4.00,684419628.00,2.00,811.00,88.61,84.61,89.12,85.55,1781.56,1829.83,1864.85,-4.51,0.58,-3.45,-3.62,-1.00,0.89,-0.90,1.58,-4.34,0.00,0.00,0.00
275,"Jan. 20, 2014  9:49 PM ET",DTV,DirecTV Dividend Just Around The Corner,NA,4.00,42828621719.00,2.00,1356.00,72.71,69.41,72.94,75.64,1794.19,1828.75,1864.85,-4.54,0.32,4.03,-2.69,-0.82,1.14,-1.85,1.13,2.89,0.00,0.00,0.00
276,"Jan. 20, 2014  8:38 PM ET",DOW,Dow Chemical: 3% Dividend Plus Likely Price Appreciation In 2014,NA,4.00,54469552338.00,2.00,1092.00,44.54,43.94,45.04,47.61,1794.19,1828.75,1864.85,-1.35,1.12,6.89,-2.69,-0.82,1.14,1.34,1.94,5.75,0.00,0.00,1.00
277,"Jan. 20, 2014  8:31 PM ET",GE,Should Income Investors Give General Electric Another Chance?,NA,4.00,252025000000.00,2.00,16117.00,25.16,24.41,24.31,25.64,1794.19,1828.75,1864.85,-2.98,-3.38,1.91,-2.69,-0.82,1.14,-0.29,-2.56,0.77,0.00,0.00,0.00
278,"Jan. 20, 2014  8:16 PM ET",EADSF,Boeing: Take Profits Now,NA,4.00,106764000000.00,2.00,24.00,76.37,71.49,71.13,70.20,1794.19,1828.75,1864.85,-6.39,-6.86,-8.08,-2.69,-0.82,1.14,-3.70,-6.05,-9.22,0.00,0.00,0.00
279,"Jan. 20, 2014  7:13 PM ET",MSFT,AMD&#x27;s Kaveri Creates Opportunities For New Gamers,NA,4.00,2137575710.00,2.00,1232.00,34.96,35.62,36.52,38.96,1794.19,1828.75,1864.85,1.89,4.46,11.44,-2.69,-0.82,1.14,4.58,5.28,10.30,0.00,1.00,1.00
280,"Jan. 20, 2014  6:58 PM ET",MCD,Chipotle Mexican Grill Valued At Over $10 Million A Restaurant,NA,4.00,20924864389.00,2.00,289.00,91.12,89.89,91.57,96.89,1794.19,1828.75,1864.85,-1.35,0.49,6.33,-2.69,-0.82,1.14,1.34,1.31,5.19,0.00,0.00,1.00
281,"Jan. 20, 2014  6:57 PM ET",PLG,Platinum Group Metals: 4 Different Insiders Have Purchased Shares During The Last 30 Days,NA,4.00,271245918.00,2.00,3828.00,1.29,1.16,1.20,1.00,1794.19,1828.75,1864.85,-10.08,-6.98,-22.48,-2.69,-0.82,1.14,-7.39,-6.16,-23.62,0.00,0.00,0.00
282,"Jan. 20, 2014  6:50 PM ET",WPRT,2014 Will Be The Turning Point For Clean Energy Fuels And Westport Innovations,NA,4.00,463564001.00,2.00,2207.00,18.74,17.39,16.86,13.49,1794.19,1828.75,1864.85,-7.20,-10.03,-28.01,-2.69,-0.82,1.14,-4.51,-9.22,-29.16,0.00,0.00,0.00
283,"Jan. 20, 2014  6:38 PM ET",XOM,Buy ConocoPhillips And Drip The Dividends For Years,NA,4.00,75907297216.00,2.00,51.00,95.07,90.72,91.32,97.61,1794.19,1828.75,1864.85,-4.58,-3.94,2.67,-2.69,-0.82,1.14,-1.88,-3.13,1.53,0.00,0.00,0.00
284,"Jan. 20, 2014  4:13 PM ET",AMRN,Amarin: Is No News Good News?,NA,4.00,513574154.00,2.00,5269.00,1.73,1.80,1.88,1.58,1794.19,1828.75,1864.85,4.05,8.67,-8.67,-2.69,-0.82,1.14,6.74,9.49,-9.81,1.00,1.00,0.00
285,"Jan. 20, 2014  3:57 PM ET",MCD,McDonald&#x27;s Earnings Sneak Peak,NA,4.00,92603783758.00,2.00,5269.00,91.12,89.89,91.57,96.89,1794.19,1828.75,1864.85,-1.35,0.49,6.33,-2.69,-0.82,1.14,1.34,1.31,5.19,0.00,0.00,1.00
286,"Jan. 20, 2014  3:28 PM ET",HP,Helmrich &amp; Payne: 5 Reasons I&#x27;m Buying The Contract Driller&#x27;s Fundamentals,NA,4.00,6726475717.00,2.00,45.00,83.98,84.41,91.06,107.45,1794.19,1828.75,1864.85,0.51,8.43,27.95,-2.69,-0.82,1.14,3.20,9.25,26.81,0.00,1.00,1.00
